[uranus/server]2023/10/27 - 12:00:25.609	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/core/server.go:42	accept tcp [::]:8888: use of closed network connection
[uranus/server]2023/10/27 - 14:06:04.807	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 14:07:38.420	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 15:01:14.379	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 15:04:35.641	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 15:06:33.817	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 15:15:37.053	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 15:18:11.775	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/123__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 15:33:50.419	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/手工单kpi - 盖亚·数据门户__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 15:39:53.790	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 15:40:08.685	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 15:40:26.524	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 15:41:12.996	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 16:00:20.098	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:133	文件不存在!	{"error": "stat ./resource/excel/手工单kpi__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 17:44:45.891	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/core/server.go:42	accept tcp [::]:8888: use of closed network connection
[uranus/server]2023/10/27 - 18:36:53.970	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:134	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 18:36:57.102	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:134	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 18:36:58.681	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:134	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 18:36:59.828	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:134	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 18:37:00.954	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:134	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 18:37:03.421	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:134	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 18:37:12.417	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:134	文件不存在!	{"error": "stat ./resource/excel/Uranus__ExcelTemplate.xlsx: no such file or directory"}
[uranus/server]2023/10/27 - 18:41:36.746	[31merror[0m	/home/rightsun/Documents/git/gin-vue-admin/server/api/v1/example/exa_excel.go:83	加载数据失败!	{"error": "Excel格式错误"}
